Common,Species,lon,lat,Country,State/Province,Year
Fox,Vulpes vulpes,-3.22266,51.37767,United Kingdom,Wales,1899
Fox,Vulpes vulpes,-3.95219,51.63756,United Kingdom,Wales,1899
Peregrine,Falco peregrinus,-3.1,51.6,United Kingdom,Wales,1899
Peregrine,Falco peregrinus,-3.1,51.6,United Kingdom,Wales,1899
Fox,Vulpes vulpes,-5.34482,56.64179,United Kingdom,Scotland,1900
Fox,Vulpes vulpes,-3.67113,57.13421,United Kingdom,Scotland,1900
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1900
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1900
Fox,Vulpes vulpes,-3.22507,51.46756,United Kingdom,Wales,1900
Fox,Vulpes vulpes,-3.95219,51.63756,United Kingdom,Wales,1900
Fox,Vulpes vulpes,-3.80777,51.63987,United Kingdom,Wales,1900
Fox,Vulpes vulpes,-3.95219,51.63756,United Kingdom,Wales,1900
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1900
Peregrine,Falco peregrinus,-3.2,51.5,United Kingdom,Wales,1900
Peregrine,Falco peregrinus,-3.7,57.1,United Kingdom,Scotland,1900
Fox,Vulpes vulpes,0.21205,51.09337,United Kingdom,England,1901
Fox,Vulpes vulpes,-4.62816,56.0703,United Kingdom,Scotland,1901
Fox,Vulpes vulpes,-3.86976,55.67074,United Kingdom,Scotland,1901
Fox,Vulpes vulpes,-4.53147,55.82066,United Kingdom,Scotland,1901
Peregrine,Falco peregrinus,-0.4,52.6,United Kingdom,England,1902
Peregrine,Falco peregrinus,-0.2,52.6,United Kingdom,England,1903
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.6762,53.27007,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.6762,53.27007,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.07627,53.18207,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.52737,53.36071,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67478,53.18019,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.52627,53.27082,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.52627,53.27082,United Kingdom,England,1905
Fox,Vulpes vulpes,-1.3253,53.35997,United Kingdom,England,1905
Fox,Vulpes vulpes,1.32951,51.93037,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-1.32388,53.44985,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67819,53.3959,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.07659,53.36185,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.07659,53.36185,United Kingdom,England,1905
Fox,Vulpes vulpes,-1.3253,53.35997,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.52627,53.27082,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.52627,53.27082,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.9781,53.35786,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.52627,53.27082,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.6762,53.27007,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.98016,53.44774,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.52627,53.27082,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.6762,53.27007,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.6762,53.27007,United Kingdom,England,1905
Fox,Vulpes vulpes,-3.12832,53.35654,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.07643,53.27196,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.6762,53.27007,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67762,53.35995,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.67478,53.18019,United Kingdom,England,1905
Fox,Vulpes vulpes,-4.05918,55.65917,United Kingdom,Scotland,1905
Fox,Vulpes vulpes,-4.27879,55.73123,United Kingdom,Scotland,1905
Fox,Vulpes vulpes,-4.07183,55.88318,United Kingdom,Scotland,1905
Fox,Vulpes vulpes,-4.09652,55.89624,United Kingdom,Scotland,1905
Fox,Vulpes vulpes,-3.83319,55.73869,United Kingdom,Scotland,1905
Fox,Vulpes vulpes,-3.94834,51.5477,United Kingdom,Wales,1905
Peregrine,Falco peregrinus,-3.2,51.5,United Kingdom,Wales,1905
Peregrine,Falco peregrinus,-0.3,52.6,United Kingdom,England,1905
Fox,Vulpes vulpes,-2.6762,53.27007,United Kingdom,England,1906
Fox,Vulpes vulpes,-3.12595,53.26667,United Kingdom,Wales,1908
Fox,Vulpes vulpes,-0.0808,50.91868,United Kingdom,England,1909
Fox,Vulpes vulpes,0.50711,51.26729,United Kingdom,England,1909
Fox,Vulpes vulpes,-5.25735,51.69853,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10075,51.72492,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10493,51.81477,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.6846,51.80296,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24988,51.81208,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.40439,51.98888,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.84076,51.97915,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10075,51.72492,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.55499,52.07563,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.41407,52.16853,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.70074,52.07238,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.81826,51.61995,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.97427,51.79598,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.81858,51.90947,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.40439,51.98888,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.6846,51.80296,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24542,51.72224,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.99215,52.06534,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.69533,51.98257,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.6846,51.80296,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.96386,51.90713,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10493,51.81477,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.99215,52.06534,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.6846,51.80296,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.54987,51.98582,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10493,51.81477,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.97427,51.79598,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.99182,52.53608,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.84076,51.97915,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.84076,51.97915,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.70074,52.07238,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24542,51.72224,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10913,51.90462,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.39959,51.89905,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13781,52.06155,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.81858,51.90947,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.99182,52.53608,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.39481,51.80922,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.70074,52.07238,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.99215,52.06534,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24988,51.81208,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.97971,52.26654,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.68995,51.89277,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.99215,52.06534,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24542,51.72224,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.55499,52.07563,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.6846,51.80296,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.41407,52.16853,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.0966,51.63507,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.96779,51.99699,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10075,51.72492,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.95995,51.81727,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.70074,52.07238,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10075,51.72492,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.70074,52.07238,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13781,52.06155,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24542,51.72224,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.54987,51.98582,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.97427,51.79598,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10913,51.90462,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.69533,51.98257,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.69533,51.98257,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.84076,51.97915,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.6846,51.80296,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.84076,51.97915,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.69533,51.98257,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.6846,51.80296,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.39006,51.71939,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.96386,51.90713,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.70074,52.07238,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.97175,52.08684,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.40922,52.0787,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.82222,51.99933,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.96779,51.99699,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.84646,52.06895,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.99215,52.06534,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.68995,51.89277,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.40439,51.98888,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.67927,51.71314,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.53972,51.80618,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.70074,52.07238,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.97971,52.26654,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10075,51.72492,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.96779,51.99699,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24542,51.72224,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.70074,52.07238,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.27033,51.87805,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96837,51.70619,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.96779,51.99699,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.84076,51.97915,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.25437,51.90192,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24542,51.72224,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.96251,51.6164,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11906,51.79222,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.13153,51.97177,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-3.83697,52.35876,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.11288,51.70245,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.10493,51.81477,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.83509,51.88936,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82945,51.79956,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.24542,51.72224,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-5.12528,51.882,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.97427,51.79598,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.82384,51.70976,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.98616,51.97555,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.84646,52.06895,United Kingdom,Wales,1909
Fox,Vulpes vulpes,-4.9802,51.88577,United Kingdom,Wales,1909
